kernel,config,implementation,flops,bytes,arithmetic_intensity,achieved_gflops,achieved_gbps,latency_ms,is_memory_bound
matmul,512x512x512,PyTorch,268435456,1572864,170.66666666666666,3539.123715336012,20.737053019546945,0.07584800012409687,False
matmul,512x512x512,Triton,268435456,1572864,170.66666666666666,1582.9055656577532,9.274837298775896,0.1695839990861714,False
matmul,1024x1024x1024,PyTorch,2147483648,6291456,341.3333333333333,12795.741187591908,37.48752301052317,0.16782799968495965,False
matmul,1024x1024x1024,Triton,2147483648,6291456,341.3333333333333,13622.016326611873,39.90825095687072,0.15764800133183599,False
matmul,2048x2048x2048,PyTorch,17179869184,25165824,682.6666666666666,14949.520335112127,21.898711428386903,1.1491920007392764,False
matmul,2048x2048x2048,Triton,17179869184,25165824,682.6666666666666,15978.954846482253,23.406672138401735,1.075156000442803,False
conv2d,B32_1x32_28x28,PyTorch,12460032,1435264,8.681352002140374,189.48889802659235,21.827118400437417,0.06575600011274219,True
conv2d,B32_1x32_28x28,Triton,12460032,1435264,8.681352002140374,154.2006864162215,17.762289373614106,0.08080399828031659,True
conv2d,B32_1x32_28x28,CUDA,12460032,2870528,4.340676001070187,192.6769380325611,44.388693831342614,0.06466799881309271,True
conv2d,B128_1x32_28x28,PyTorch,49840128,5739136,8.684256306175703,294.01430201818727,33.85601387756169,0.16951599856838584,True
conv2d,B128_1x32_28x28,Triton,49840128,5739136,8.684256306175703,523.1570654620592,60.24201117717155,0.09526800131425261,True
conv2d,B128_1x32_28x28,CUDA,49840128,11478272,4.3421281530878515,208.25030145361052,47.96042265715162,0.23932799929752946,True
conv2d,B128_1x64_64x64,PyTorch,566820864,64029952,8.852433061327298,339.5893828925242,38.36113535566317,1.6691359994001687,True
conv2d,B128_1x64_64x64,Triton,566820864,64029952,8.852433061327298,784.175489662039,88.58304651720945,0.7228239998221397,True
attention,B2_H8_S128_D64,PyTorch,67108864,1048576,64.0,1419.2720982377068,22.17612653496417,0.04728400148451328,False
attention,B2_H8_S128_D64,Triton,67108864,1048576,64.0,1465.8991908993212,22.904674857801893,0.045779999345541,False
attention,B4_H8_S256_D64,PyTorch,536870912,4194304,128.0,9116.194037499183,71.22026591796237,0.058892001397907734,False
attention,B4_H8_S256_D64,Triton,536870912,4194304,128.0,4441.501280357988,34.699228752796785,0.12087600072845817,False
attention,B2_H8_S512_D64,PyTorch,1073741824,4194304,256.0,10029.721092628928,39.17859801808175,0.10705600026994944,False
attention,B2_H8_S512_D64,Triton,1073741824,4194304,256.0,8925.237854192264,34.86421036793853,0.12030400102958083,False
transformer,QKV,PyTorch,7247757312,16126464,449.43251738260784,12346.863931292355,27.47211973712464,0.5870120017789304,False
transformer,Softmax,PyTorch,7864320,6291456,1.25,86.21645256542458,68.97316205233966,0.09121600072830915,True
transformer,LayerNorm,PyTorch,6291456,6294528,0.9995119570522206,68.84334770097955,68.87696261684917,0.09138800203800201,True
transformer,GELU,PyTorch,12582912,6291456,2.0,0.0,72.60600949347506,0.08665200090035796,True
transformer,MLP,PyTorch,19377684480,50339328,384.94126262472156,11823.678301979206,30.71553883665126,1.6388879995793104,False
transformer,QKV,Triton,7247757312,16126464,449.43251738260784,11741.442001629319,26.12503890463643,0.6172799994237721,False
transformer,Softmax,Triton,7864320,6291456,1.25,76.72507279428167,61.38005823542534,0.10250000050291419,True
transformer,LayerNorm,Triton,6291456,6294528,0.9995119570522206,79.46566985855381,79.50447145516442,0.07917199982330203,True
transformer,GELU,Triton,12582912,6291456,2.0,0.0,74.06941413467582,0.0849399995058775,True
transformer,MLP,Triton,19377684480,50339328,384.94126262472156,8908.575729452828,23.14268849410873,2.175171999260783,False
